snr,realization,L_true,epsilon_true,MEWT_true,L_retrieved,epsilon_retrieved,MEWT_retrieved
600.0,1,0.075,0.5,0.0375,0.08333981176023005,0.4817604538954381,0.0401498255411688
600.0,1,0.1,0.5,0.05,0.1159134785410881,0.49300481990211115,0.05714590361237637
600.0,1,0.125,0.5,0.0625,0.14348983461867545,0.49017348861532983,0.07033491281587287
600.0,1,0.15,0.5,0.075,0.1710663396284655,0.49882420583014697,0.08533203100943951
600.0,1,0.175,0.5,0.0875,0.19890208673945203,0.49307514801577235,0.0980736758597013
600.0,1,0.2,0.5,0.1,0.19999999999999957,0.5135030025714751,0.10270060051429479
600.0,1,0.025,0.6,0.015,0.0241832100006929,0.6067841531344033,0.014673988600341874
600.0,1,0.05,0.6,0.03,0.04814980407918401,0.5960184286943345,0.028698170569215312
600.0,1,0.075,0.6,0.045,0.08029791489231206,0.6042230453271036,0.04851785066964937
600.0,1,0.1,0.6,0.06,0.11084857747392704,0.6007591688894252,0.06659329927581147
600.0,1,0.125,0.6,0.075,0.13559163743566724,0.5961108607431774,0.08082764770135244
600.0,1,0.15,0.6,0.09,0.1623788198248844,0.6021361752012312,0.09777416150304574
600.0,1,0.175,0.6,0.105,0.19030787083758335,0.6059662335689397,0.11532014370997465
600.0,1,0.2,0.6,0.12,0.1999999999999998,0.6204317917847169,0.12408635835694325
600.0,1,0.025,0.7,0.0174999999999999,0.024103476040057952,0.7063666830204459,0.01702589241967853
600.0,1,0.05,0.7,0.0349999999999999,0.04910478501118634,0.6999421621604763,0.03437050939315512
600.0,1,0.075,0.7,0.0525,0.0780503715869473,0.6986376302600004,0.05452892664641733
600.0,1,0.1,0.7,0.0699999999999999,0.10455256986319814,0.7004541406489359,0.07323428047616427
600.0,1,0.125,0.7,0.0875,0.13736390279819807,0.7013602499156059,0.09634158119592719
600.0,1,0.15,0.7,0.105,0.15855092217105582,0.7011688858625411,0.11117097345115767
600.0,1,0.175,0.7,0.1224999999999999,0.19121530013331475,0.6994175941443068,0.13373934518282454
600.0,1,0.2,0.7,0.1399999999999999,0.19999999999999993,0.7098454327899899,0.14196908655799792
600.0,1,0.175,0.8,0.1399999999999999,0.1812521860530865,0.7979758174458668,0.14463486132956202
600.0,1,0.2,0.8,0.16,0.19999999999999993,0.8078890180704057,0.16157780361408108
600.0,2,0.0,0.0,0.0,0.007156534829062902,0.03308914939848406,0.00023680365013431696
600.0,2,0.025,0.1,0.0025,0.14523664433990954,0.033713611678893494,0.004896451828821275
600.0,2,0.025,0.2,0.005,0.01646805296814534,0.19790147806829145,0.0032590520233028767
600.0,2,0.05,0.2,0.01,0.08524065216065921,0.18031716989666244,0.015370353157755893
600.0,2,0.025,0.3,0.0075,0.01954977582964945,0.33749665143100055,0.0065979838787334
600.0,2,0.05,0.3,0.015,0.048289989291684744,0.3140132762367817,0.015163697746921032
600.0,2,0.075,0.3,0.0225,0.10488065262792726,0.26429305074344095,0.027719227646997982
600.0,2,0.1,0.3,0.03,0.13508138679272907,0.2894013348317026,0.039092733648733315
600.0,2,0.025,0.4,0.01,0.026148732513706616,0.402245574942846,0.010518211944002608
600.0,2,0.05,0.4,0.02,0.05747041288729742,0.3834345847170672,0.022036143898959273
600.0,2,0.075,0.4,0.03,0.08926343648834663,0.38438804439145996,0.03431179778741685
600.0,2,0.1,0.4,0.04,0.11957089906051477,0.3962416771319724,0.047378973579916155
600.0,2,0.025,0.5,0.0125,0.02310015379233569,0.5037904129701218,0.011637636018714122
600.0,2,0.05,0.5,0.025,0.05345627205779292,0.4997434898553374,0.026714423952817794
600.0,2,0.075,0.5,0.0375,0.07797932635373878,0.49381736840428286,0.03850754572994203
600.0,2,0.1,0.5,0.05,0.11140925077668602,0.5101473898549208,0.056835138489418686
600.0,2,0.125,0.5,0.0625,0.13066290943464448,0.5102535310689501,0.06667121091876978
600.0,2,0.15,0.5,0.075,0.16908396789009383,0.4996094412427865,0.08447594672068304
600.0,2,0.175,0.5,0.0875,0.1922112355166271,0.4988095489657533,0.09587679969419895
600.0,2,0.2,0.5,0.1,0.19999999999999998,0.5176073648900813,0.10352147297801625
600.0,2,0.025,0.6,0.015,0.025376284322881474,0.6145389931851969,0.015594716218564876
600.0,2,0.05,0.6,0.03,0.04865130048388115,0.6179507392854875,0.030064107101214755
600.0,2,0.075,0.6,0.045,0.07784364303910053,0.6035048792402107,0.04697901839193043
600.0,2,0.1,0.6,0.06,0.11550204324019821,0.5944307907320183,0.06865797089443479
600.0,2,0.125,0.6,0.075,0.137145239926535,0.6069936943448777,0.0832462958448221
600.0,2,0.15,0.6,0.09,0.15959242919696523,0.6093418627162535,0.09724634808229059
600.0,2,0.175,0.6,0.105,0.18461917265104594,0.6063501002307969,0.11194385384148851
600.0,2,0.2,0.6,0.12,0.19999999999999996,0.6074630379448789,0.12149260758897575
600.0,2,0.025,0.7,0.0174999999999999,0.026415608533645413,0.7002146185238831,0.018496595252462753
600.0,2,0.05,0.7,0.0349999999999999,0.050321365446045735,0.7034447626534119,0.035398300972589246
600.0,2,0.075,0.7,0.0525,0.07562472796890102,0.6932930645190344,0.052430099406977716
600.0,2,0.1,0.7,0.0699999999999999,0.1057530816224291,0.7043157911995063,0.07448356535468711
600.0,2,0.125,0.7,0.0875,0.12958760844791248,0.7009665870900663,0.09083658362289705
600.0,2,0.15,0.7,0.105,0.1590920402110238,0.7061061464733684,0.11233586744799219
600.0,2,0.175,0.7,0.1224999999999999,0.18011782712886779,0.7004308714364827,0.1261600866171186
600.0,2,0.2,0.7,0.1399999999999999,0.19999999999999998,0.7091742851237605,0.14183485702475207
600.0,2,0.175,0.8,0.1399999999999999,0.1839475400935146,0.8044027944398775,0.14796791528156455
600.0,2,0.2,0.8,0.16,0.19999999999999998,0.8034169882328016,0.1606833976465603
600.0,3,0.0,0.0,0.0,0.0010000996625236789,0.001003371672591508,1.0034716711445862e-06
600.0,3,0.025,0.1,0.0025,0.016981921478021536,0.04694212338455351,0.0007971674533280862
600.0,3,0.025,0.2,0.005,0.029967194004624543,0.18724583745155501,0.005611232337469141
600.0,3,0.05,0.2,0.01,0.10427052194134728,0.16275433416447233,0.016970479371545978
600.0,3,0.025,0.3,0.0075,0.027460081154581838,0.28776122695528805,0.007901946645334253
600.0,3,0.05,0.3,0.015,0.050258699721209416,0.32012344609447574,0.016088988150981025
600.0,3,0.075,0.3,0.0225,0.08409276206380593,0.2854652376854916,0.02400556031017385
600.0,3,0.1,0.3,0.03,0.12235182146949442,0.28294469244042714,0.03461879849521215
600.0,3,0.025,0.4,0.01,0.02350540266191967,0.4037160164985502,0.009489507528864627
